CountryId,CountryName,ProvinceID,ProvinceName,CityName,CityID,FoodName,FoodID,UnknownId1,CurrencyCode,CategoryId,CategoryName,UnitID,UnitName,mp_month,mp_year,mp_price,aasa
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,55,Bread - Retail,0.0,AFN,15,Retail,5,KG,1,2014,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,55,Bread - Retail,0.0,AFN,15,Retail,5,KG,1,2015,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,55,Bread - Retail,0.0,AFN,15,Retail,5,KG,1,2016,55.5,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,55,Bread - Retail,0.0,AFN,15,Retail,5,KG,1,2017,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,55,Bread - Retail,0.0,AFN,15,Retail,5,KG,1,2018,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,55,Bread - Retail,0.0,AFN,15,Retail,5,KG,1,2019,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,55,Bread - Retail,0.0,AFN,15,Retail,5,KG,1,2021,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2004,6.05,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2005,11.4,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2006,13.625,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2007,15.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2008,24.775,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2009,25.885,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2010,14.825,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2011,18.6,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2012,22.075,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2013,21.4,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2014,20.75,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2015,25.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2016,26.75,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2017,25.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2018,23.5,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2019,22.75,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2021,25.375,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2007,24.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2008,44.5,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2009,68.5,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2010,41.9,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2011,44.3,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2013,49.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2014,51.5,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2021,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,55,Bread - Retail,0.0,AFN,15,Retail,5,KG,1,2021,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,84,Wheat - Retail,0.0,AFN,15,Retail,5,KG,1,2021,25.375,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2013,49.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2021,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2021,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2021,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2021,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2021,50.0,
1.0,Afghanistan,272,Badakhshan,266,Fayzabad,145,Rice (low quality) - Retail,0.0,AFN,15,Retail,5,KG,1,2021,50.0,
